"id,""vuosi"",""sp"",""ika"",""kieli"",""peas"",""pekoko"",""suuralue"",""sivs"",""yo"",""ututku"",""patv"",""amas"",""sose"",""toimiala"",""jurmu"",""tuloluokka"",""isa_ika"",""isa_kieli"",""isa_patv"",""isa_amas"",""isa_toimiala"",""isa_jurmu"",""aiti_ika"",""aiti_kieli"",""aiti_patv"",""aiti_amas"",""aiti_toimiala"",""aiti_jurmu"""
"13,2000,""2"",52,""1"",""0"",0,""2"",""2"",""0"",""35"",""0"",""1"",""5"",""29"",""4"",7,,,,,,,,,,,,"
"13,2010,""2"",62,""1"",""1"",2,""2"",""4"",""0"",""35"",""4"",,""7"",,""9"",4,,,,,,,,,,,,"
"14,1950,""2"",6,""1"",""3"",5,""3"",,""0"",,""2"",,,,,,51,""1"",""0"",""1"",""40"",""9"",45,""1"",""4"",""1"",""40"",""9"""
"14,1970,""2"",26,""1"",""0"",0,""1"",""1"",""0"",,""0"",""1"",""4"",""38"",""4"",7,,,,,,,,,,,,"
"14,1980,""2"",36,""1"",""0"",0,""3"",""1"",""0"",,""0"",""1"",""4"",""12"",""5"",7,,,,,,,,,,,,"
"14,1990,""2"",46,""1"",""0"",0,""3"",""1"",""0"",,""0"",""1"",""4"",""04"",""4"",7,,,,,,,,,,,,"
"14,2000,""2"",56,""1"",""0"",0,""3"",""1"",""0"",,""0"",""1"",""4"",""02"",""4"",9,,,,,,,,,,,,"
"14,2010,""2"",66,""1"",""0"",0,""3"",""1"",""0"",,""4"",,""7"",,""9"",5,,,,,,,,,,,,"
"15,1950,""2"",0,""1"",""3"",7,""3"",,""0"",,""2"",,,,,,33,""1"",""0"",""1"",""04"",""5"",,,,,,"
"15,1970,""2"",20,""1"",""3"",4,""3"",""1"",""0"",,""4"",""1"",""5"",""12"",""9"",,,,,,,,,,,,,"
"15,1980,""2"",30,""1"",""2"",4,""3"",""2"",""0"",""35"",""4"",,""4"",""99"",""9"",,,,,,,,,,,,,"
"15,1990,""2"",40,""1"",""2"",4,""3"",""2"",""0"",""35"",""0"",""1"",""5"",""11"",""4"",4,,,,,,,,,,,,"
"15,2000,""2"",50,""1"",""2"",3,""3"",""2"",""0"",""35"",""4"",,""8"",""99"",""9"",3,,,,,,,,,,,,"
"15,2010,""2"",60,""1"",""2"",2,""3"",""2"",""0"",""35"",""4"",,""8"",,""9"",4,,,,,,,,,,,,"
"16,1950,""2"",4,""1"",""3"",5,""2"",,""0"",,""2"",,,,,,45,""1"",""0"",""2"",""01"",""9"",37,""1"",""0"",""2"",""01"",""9"""
"16,1970,""2"",24,""1"",""3"",3,""2"",""1"",""0"",,""0"",""2"",""2"",""11"",""9"",2,,,,,,,,,,,,"
"16,1980,""2"",34,""1"",""2"",5,""2"",""2"",""0"",,""0"",""2"",""9"",""11"",""9"",4,,,,,,,,,,,,"
"16,1990,""2"",44,""1"",""2"",5,""2"",""2"",""0"",,""0"",""2"",""1"",""01"",""5"",4,,,,,,,,,,,,"
"16,2000,""2"",54,""1"",""2"",4,""2"",""2"",""0"",,""0"",""2"",""1"",""01"",""5"",2,,,,,,,,,,,,"
"16,2010,""2"",64,""1"",""2"",2,""2"",""2"",""0"",,""0"",""2"",""2"",""00"",""5"",3,,,,,,,,,,,,"
"17,1950,""2"",2,""1"",""3"",3,""1"",,""0"",,""2"",,,,,,33,""1"",""0"",""2"",""01"",""9"",24,""1"",""0"",""2"",""01"",""9"""
"17,1970,""2"",22,""1"",""2"",2,""1"",""2"",""0"",,""4"",""2"",""2"",""11"",""9"",,,,,,,,,,,,,"
"17,1980,""2"",32,""1"",""2"",4,""1"",""2"",""0"",,""0"",""2"",""2"",""11"",""9"",6,,,,,,,,,,,,"
"17,1990,""2"",42,""1"",""2"",4,""1"",""2"",""0"",,""0"",""2"",""1"",""01"",""5"",6,,,,,,,,,,,,"
"17,2000,""2"",52,""1"",""2"",2,""1"",""2"",""0"",,""0"",""2"",""1"",""01"",""5"",6,,,,,,,,,,,,"
"17,2010,""2"",62,""1"",""2"",2,""1"",""2"",""0"",,""4"",,""7"",,""9"",3,,,,,,,,,,,,"
"18,1950,""1"",5,""1"",""3"",6,""3"",,""0"",,""2"",,,,,,36,""1"",""0"",""1"",""04"",""9"",37,""1"",""4"",""1"",""04"",""9"""
"18,1970,""1"",25,""1"",""0"",0,""1"",""1"",""0"",,""0"",""1"",""5"",""38"",""4"",8,,,,,,,,,,,,"
"18,1980,""1"",35,""1"",""0"",0,""1"",""1"",""0"",""35"",""0"",""1"",""5"",""38"",""4"",8,,,,,,,,,,,,"
"18,1990,""1"",45,""1"",""0"",0,""1"",""1"",""0"",""35"",""0"",""1"",""5"",""24"",""4"",8,,,,,,,,,,,,"
"18,2000,""1"",55,""1"",""0"",0,""1"",""1"",""0"",""35"",""0"",""1"",""5"",""28"",""4"",9,,,,,,,,,,,,"
"18,2010,""1"",65,""1"",""0"",0,""3"",""1"",""0"",""35"",""4"",,""7"",,""9"",6,,,,,,,,,,,,"
"19,1950,""2"",6,""1"",""3"",4,""1"",,""0"",,""2"",,,,,,40,""1"",""0"",""1"",""81"",""1"",38,""1"",""4"",""1"",""81"",""1"""
"19,1970,""2"",26,""1"",""2"",3,""1"",""2"",""1"",""62"",""0"",""2"",""2"",""94"",""9"",4,,,,,,,,,,,,"
"19,1980,""2"",36,""1"",""2"",5,""1"",""2"",""1"",""62"",""4"",""1"",""4"",""91"",""2"",3,,,,,,,,,,,,"
"19,1990,""2"",46,""1"",""2"",4,""1"",""2"",""1"",""62"",""0"",""1"",""3"",""85"",""4"",9,,,,,,,,,,,,"
"19,2000,""2"",56,""1"",""2"",2,""1"",""2"",""1"",""62"",""0"",""1"",""3"",""80"",""4"",9,,,,,,,,,,,,"
